capture_id,view_id,rôle,état,viewport,orientation,priorité,données_requises,capture_obligatoire,motif,peut_être_dédupliquée,référence_déduplication
CP040,V034,pole_lead,validation_error,390x844,portrait,P1,file invalid,oui,Depot,non,
CP041,V036,recruitment_lead,loaded,1440x900,paysage,P1,campaigns applications,oui,Recrutement admin,non,
CP042,V037,candidate,validation_error,375x812,portrait,P1,form incomplete,oui,Form public,non,
CP043,V038,team_leader,destructive_confirmation,768x1024,portrait,P1,candidate decision,oui,Decision,non,
CP044,V039,member,loaded,375x812,portrait,P1,posts media,oui,Fil mobile,non,
CP045,V040,pole_lead,validation_error,768x1024,portrait,P1,media visibility,oui,Composer,non,
CP046,V042,member,loaded,375x812,portrait,P1,10 conversations,oui,Chat list,non,
CP047,V043,member,offline,375x812,portrait,P1,thread cached,oui,Chat reconnect,non,
CP048,V044,group_admin,destructive_confirmation,390x844,portrait,P1,message owned,oui,Actions message,non,
CP049,V045,pole_lead,default,768x1024,portrait,P1,group members,oui,Create group,non,
CP050,V046,member,loaded,375x812,portrait,P1,notifications mixed,oui,Centre,non,
CP051,V048,pole_lead,loaded,1366x768,paysage,P1,poles dense,oui,Poles,non,
CP052,V049,pole_lead,partial_data,768x1024,portrait,P1,pole no docs,oui,Fiche pole,non,
CP053,V051,project_lead,loaded,1366x768,paysage,P1,projects dense,oui,Projets,non,
CP054,V052,project_lead,long_content,768x1024,portrait,P1,project rich,oui,Fiche projet,non,
CP055,V054,member,loaded,375x812,portrait,P1,events,oui,Evenements,non,
CP056,V056,team_leader,validation_error,390x844,portrait,P1,event invalid,oui,Form event,non,
CP057,V057,alumni,loaded,375x812,portrait,P1,alumni mentorship,oui,Annuaire,non,
CP058,V058,alumni,empty,768x1024,portrait,P2,no mentorship,oui,Tab mentorat,non,
CP059,V059,member,loaded,375x812,portrait,P1,points badges,oui,Gamification,non,
CP060,V060,secretary,success,768x1024,portrait,P1,point attribution,oui,Manage points,non,
CP061,V061,member,loaded,1366x768,paysage,P2,courses cases,oui,Academy,non,
CP062,V062,member,long_content,375x812,portrait,P2,course resource,oui,Course detail,non,
CP063,V063,team_leader,loaded,1440x900,paysage,P1,impact metrics,oui,Impact,non,
CP064,V065,member,loaded,375x812,portrait,P1,archives years prizes,oui,Archives,non,
CP065,V066,member,broken_image,375x812,portrait,P1,archive missing media,oui,Archive detail,non,
CP066,V002,public,default,375x812,paysage,P2,aucune,oui,Mobile landscape,non,
CP067,V013,member,loaded,1366x768,paysage,P2,dashboard,oui,Zoom 125 percent,non,
CP068,V017,admin,loaded,1366x768,paysage,P1,members,oui,Zoom 200 percent,non,
CP069,V042,member,loaded,375x812,portrait,P1,chat,oui,Keyboard only and touch,non,
CP070,V010,admin,focus,1366x768,paysage,P1,sidebar,oui,Keyboard focus,non,
