"capture_id","domaine","vue","role","etat","viewport","orientation","priorite","donnees_requises","scenario_driver","setup_action","expected_marker","teardown_action","capture_mode","auth_mode","route_mode"
"PILOT017","auth","login","member","session_expired","1366x768","landscape","P0","expired_token","expired_session","inject_expired_token; navigate_dashboard","text:Connexion","clear_storage; close_target; restore_network","screenshot_after_driver_validation","expired_token","/dashboard"
"PILOT018","shell","app_shell","member","mobile_active","375x812","portrait","P0","nominal","shell_member_mobile","login_member; navigate_dashboard","nav:mobile","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT019","shell","app_shell","member","mobile_active","390x844","portrait","P0","nominal","shell_member_mobile","login_member; navigate_dashboard","nav:mobile","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT020","shell","app_shell","admin","desktop_active","1366x768","landscape","P0","dense","shell_admin_desktop","login_admin; navigate_dashboard","nav:desktop","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT021","shell","app_shell","admin","desktop_active","1440x900","landscape","P0","dense","shell_admin_desktop","login_admin; navigate_dashboard","nav:desktop","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT022","shell","app_shell","admin","desktop_active","1920x1080","landscape","P0","dense","shell_admin_desktop","login_admin; navigate_dashboard","nav:desktop","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT023","shell","app_shell","finance","tablet_active","768x1024","portrait","P1","finance_dense","shell_finance_tablet","login_finance; navigate_dashboard","nav:tablet","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT024","shell","app_shell","finance","tablet_active","1024x768","landscape","P1","finance_dense","shell_finance_tablet","login_finance; navigate_dashboard","nav:tablet","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT025","shell","app_shell","admin","badges_visible","390x844","portrait","P1","dense","shell_badges","login_admin; unread_notifications","badge:notifications","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT026","shell","app_shell","admin","badges_visible","768x1024","portrait","P1","dense","shell_badges","login_admin; unread_notifications","badge:notifications","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT027","shell","app_shell","admin","badges_visible","1440x900","landscape","P1","dense","shell_badges","login_admin; unread_notifications","badge:notifications","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT028","shell","app_shell","alumni","menu_limited","390x844","portrait","P1","nominal","shell_alumni_menu","login_alumni; open_menu","nav:limited","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT029","shell","app_shell","alumni","menu_limited","768x1024","portrait","P1","nominal","shell_alumni_menu","login_alumni; open_menu","nav:limited","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT030","shell","app_shell","alumni","menu_limited","1440x900","landscape","P1","nominal","shell_alumni_menu","login_alumni; open_menu","nav:limited","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT031","shell","app_shell","member","offline","375x812","portrait","P0","nominal","network_offline","login_member; set_offline; navigate_dashboard","state:offline","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT032","shell","app_shell","member","offline","1366x768","landscape","P0","nominal","network_offline","login_member; set_offline; navigate_dashboard","state:offline","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT033","dashboard","dashboard","admin","loaded","375x812","portrait","P0","dense","dashboard_dense","login_admin; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT034","dashboard","dashboard","admin","loaded","1366x768","landscape","P0","dense","dashboard_dense","login_admin; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT035","dashboard","dashboard","member","loaded","375x812","portrait","P0","nominal","dashboard_member","login_member; profile_nominal","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT036","dashboard","dashboard","member","loaded","1366x768","landscape","P0","nominal","dashboard_member","login_member; profile_nominal","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT037","dashboard","dashboard","finance","loaded","375x812","portrait","P0","finance_dense","dashboard_finance","login_finance; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT038","dashboard","dashboard","finance","loaded","1366x768","landscape","P0","finance_dense","dashboard_finance","login_finance; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT039","dashboard","dashboard","polelead","loaded","375x812","portrait","P0","dense","dashboard_pole","login_polelead; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT040","dashboard","dashboard","polelead","loaded","1366x768","landscape","P0","dense","dashboard_pole","login_polelead; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT041","dashboard","dashboard","multirole","loaded","375x812","portrait","P0","dense","dashboard_multirole","login_multirole; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT042","dashboard","dashboard","multirole","loaded","1366x768","landscape","P0","dense","dashboard_multirole","login_multirole; profile_dense","text:Tableau de bord","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT043","dashboard","dashboard","admin","empty","390x844","portrait","P1","empty","dashboard_empty","login_admin; profile_empty","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT044","dashboard","dashboard","admin","empty","768x1024","portrait","P1","empty","dashboard_empty","login_admin; profile_empty","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT045","dashboard","dashboard","admin","empty","1440x900","landscape","P1","empty","dashboard_empty","login_admin; profile_empty","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT046","dashboard","dashboard","admin","partial_data","390x844","portrait","P1","partial","dashboard_partial","login_admin; profile_partial","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT047","dashboard","dashboard","admin","partial_data","768x1024","portrait","P1","partial","dashboard_partial","login_admin; profile_partial","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT048","dashboard","dashboard","admin","partial_data","1440x900","landscape","P1","partial","dashboard_partial","login_admin; profile_partial","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT049","dashboard","dashboard","admin","server_error","375x812","portrait","P0","nominal","dashboard_error","login_admin; intercept_dashboard_500","state:error","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT050","dashboard","dashboard","admin","server_error","1366x768","landscape","P0","nominal","dashboard_error","login_admin; intercept_dashboard_500","state:error","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/dashboard"
"PILOT051","members","members","admin","loaded","375x812","portrait","P0","dense","members_list","login_admin; profile_dense; navigate_members","text:Membres","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT052","members","members","admin","loaded","1366x768","landscape","P0","dense","members_list","login_admin; profile_dense; navigate_members","text:Membres","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT053","members","profile","admin","complete","390x844","portrait","P1","nominal","member_profile","login_admin; open_member_complete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT054","members","profile","admin","complete","768x1024","portrait","P1","nominal","member_profile","login_admin; open_member_complete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT055","members","profile","admin","complete","1440x900","landscape","P1","nominal","member_profile","login_admin; open_member_complete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT056","members","profile","admin","incomplete","390x844","portrait","P1","nominal","member_profile_incomplete","login_admin; open_member_incomplete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT057","members","profile","admin","incomplete","768x1024","portrait","P1","nominal","member_profile_incomplete","login_admin; open_member_incomplete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT058","members","profile","admin","incomplete","1440x900","landscape","P1","nominal","member_profile_incomplete","login_admin; open_member_incomplete","text:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT059","members","profile","admin","multi_role","390x844","portrait","P1","dense","member_profile_multirole","login_admin; open_multirole","text:MultiRole","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT060","members","profile","admin","multi_role","768x1024","portrait","P1","dense","member_profile_multirole","login_admin; open_multirole","text:MultiRole","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT061","members","profile","admin","multi_role","1440x900","landscape","P1","dense","member_profile_multirole","login_admin; open_multirole","text:MultiRole","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT062","members","member_edit","admin","default","390x844","portrait","P1","nominal","member_edit","login_admin; open_member_edit","dialog:edit_member","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT063","members","member_edit","admin","default","768x1024","portrait","P1","nominal","member_edit","login_admin; open_member_edit","dialog:edit_member","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT064","members","member_edit","admin","default","1440x900","landscape","P1","nominal","member_edit","login_admin; open_member_edit","dialog:edit_member","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT065","members","member_disable","admin","confirmation","375x812","portrait","P0","nominal","member_disable","login_admin; open_disable_confirmation","dialog:confirmation","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT066","members","member_disable","admin","confirmation","1366x768","landscape","P0","nominal","member_disable","login_admin; open_disable_confirmation","dialog:confirmation","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT067","members","import","admin","default","390x844","portrait","P1","nominal","member_import","login_admin; open_import","dialog:import","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT068","members","import","admin","default","768x1024","portrait","P1","nominal","member_import","login_admin; open_import","dialog:import","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT069","members","import","admin","default","1440x900","landscape","P1","nominal","member_import","login_admin; open_import","dialog:import","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/members"
"PILOT070","attendance","attendance","secretary","loaded","375x812","portrait","P0","dense","attendance_list","login_secretary; profile_dense; navigate_attendance","text:Presences","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT071","attendance","attendance","secretary","loaded","1366x768","landscape","P0","dense","attendance_list","login_secretary; profile_dense; navigate_attendance","text:Presences","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT072","attendance","session","secretary","open","375x812","portrait","P0","attendance_open","attendance_open","login_secretary; open_attendance_session","text:Session","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT073","attendance","session","secretary","open","1366x768","landscape","P0","attendance_open","attendance_open","login_secretary; open_attendance_session","text:Session","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT074","attendance","session","secretary","closed","390x844","portrait","P1","attendance_closed","attendance_closed","login_secretary; open_closed_session","text:Session","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT075","attendance","session","secretary","closed","768x1024","portrait","P1","attendance_closed","attendance_closed","login_secretary; open_closed_session","text:Session","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT076","attendance","session","secretary","closed","1440x900","landscape","P1","attendance_closed","attendance_closed","login_secretary; open_closed_session","text:Session","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT077","attendance","record","secretary","late","390x844","portrait","P1","attendance_open","attendance_record","login_secretary; open_late_record","text:Retard","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT078","attendance","record","secretary","late","768x1024","portrait","P1","attendance_open","attendance_record","login_secretary; open_late_record","text:Retard","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT079","attendance","record","secretary","late","1440x900","landscape","P1","attendance_open","attendance_record","login_secretary; open_late_record","text:Retard","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT080","attendance","justification","secretary","pending","390x844","portrait","P1","attendance_open","attendance_justification","login_secretary; open_justification","dialog:justification","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT081","attendance","justification","secretary","pending","768x1024","portrait","P1","attendance_open","attendance_justification","login_secretary; open_justification","dialog:justification","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT082","attendance","justification","secretary","pending","1440x900","landscape","P1","attendance_open","attendance_justification","login_secretary; open_justification","dialog:justification","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance"
"PILOT083","attendance","qr_scan","secretary","valid","390x844","portrait","P1","attendance_open","attendance_qr","login_secretary; open_qr; use_local_token","text:QR","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/scan"
"PILOT084","attendance","qr_scan","secretary","valid","768x1024","portrait","P1","attendance_open","attendance_qr","login_secretary; open_qr; use_local_token","text:QR","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/scan"
"PILOT085","attendance","qr_scan","secretary","valid","1440x900","landscape","P1","attendance_open","attendance_qr","login_secretary; open_qr; use_local_token","text:QR","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/scan"
"PILOT086","attendance","nfc","secretary","unavailable","390x844","portrait","P1","attendance_open","attendance_nfc_unavailable","login_secretary; simulate_nfc_unavailable","state:nfc_unavailable","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/nfc"
"PILOT087","attendance","nfc","secretary","unavailable","768x1024","portrait","P1","attendance_open","attendance_nfc_unavailable","login_secretary; simulate_nfc_unavailable","state:nfc_unavailable","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/nfc"
"PILOT088","attendance","nfc","secretary","unavailable","1440x900","landscape","P1","attendance_open","attendance_nfc_unavailable","login_secretary; simulate_nfc_unavailable","state:nfc_unavailable","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/attendance/nfc"
"PILOT089","finance","finance","finance","loaded","375x812","portrait","P0","dense","finance_dashboard","login_finance; profile_dense; navigate_finance","text:Finance","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT090","finance","finance","finance","loaded","1366x768","landscape","P0","dense","finance_dashboard","login_finance; profile_dense; navigate_finance","text:Finance","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT091","finance","payment","finance","pending","375x812","portrait","P0","payment_pending","payment_pending","login_finance; open_pending_payment","text:Paiement","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT092","finance","payment","finance","pending","1366x768","landscape","P0","payment_pending","payment_pending","login_finance; open_pending_payment","text:Paiement","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT093","finance","proof","finance","preview","390x844","portrait","P1","payment_pending","payment_proof","login_finance; open_payment_proof","preview:proof","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT094","finance","proof","finance","preview","768x1024","portrait","P1","payment_pending","payment_proof","login_finance; open_payment_proof","preview:proof","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT095","finance","proof","finance","preview","1440x900","landscape","P1","payment_pending","payment_proof","login_finance; open_payment_proof","preview:proof","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT096","finance","payment","finance","rejected","390x844","portrait","P1","payment_rejected","payment_rejected","login_finance; open_rejected_payment","text:Refuse","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT097","finance","payment","finance","rejected","768x1024","portrait","P1","payment_rejected","payment_rejected","login_finance; open_rejected_payment","text:Refuse","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT098","finance","payment","finance","rejected","1440x900","landscape","P1","payment_rejected","payment_rejected","login_finance; open_rejected_payment","text:Refuse","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/finance"
"PILOT099","chat","chat_list","member","loaded","375x812","portrait","P0","dense","chat_list","login_member; profile_dense; navigate_chat","text:Discussions","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT100","chat","chat_list","member","loaded","1366x768","landscape","P0","dense","chat_list","login_member; profile_dense; navigate_chat","text:Discussions","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT101","chat","conversation","member","loaded","375x812","portrait","P0","nominal","chat_conversation","login_member; open_private_conversation","message:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT102","chat","conversation","member","loaded","1366x768","landscape","P0","nominal","chat_conversation","login_member; open_private_conversation","message:Audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT103","chat","group","member","loaded","390x844","portrait","P1","nominal","chat_group","login_member; open_group_conversation","text:Conversation audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT104","chat","group","member","loaded","768x1024","portrait","P1","nominal","chat_group","login_member; open_group_conversation","text:Conversation audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT105","chat","group","member","loaded","1440x900","landscape","P1","nominal","chat_group","login_member; open_group_conversation","text:Conversation audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT106","chat","composer","member","sending","390x844","portrait","P1","nominal","chat_sending","login_member; open_private_conversation; delay_send","state:sending","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT107","chat","composer","member","sending","768x1024","portrait","P1","nominal","chat_sending","login_member; open_private_conversation; delay_send","state:sending","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT108","chat","composer","member","sending","1440x900","landscape","P1","nominal","chat_sending","login_member; open_private_conversation; delay_send","state:sending","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT109","chat","composer","member","send_failed","375x812","portrait","P0","nominal","chat_send_failed","login_member; open_private_conversation; fail_send","state:send_failed","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT110","chat","composer","member","send_failed","1366x768","landscape","P0","nominal","chat_send_failed","login_member; open_private_conversation; fail_send","state:send_failed","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT111","chat","conversation","member","empty","390x844","portrait","P1","chat_empty","chat_empty","login_member; open_empty_conversation","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT112","chat","conversation","member","empty","768x1024","portrait","P1","chat_empty","chat_empty","login_member; open_empty_conversation","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT113","chat","conversation","member","empty","1440x900","landscape","P1","chat_empty","chat_empty","login_member; open_empty_conversation","state:empty","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/chat"
"PILOT114","impact","impact","teamleader","loaded","390x844","portrait","P1","dense","impact_dashboard","login_teamleader; profile_dense; navigate_impact","text:Impact","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT115","impact","impact","teamleader","loaded","768x1024","portrait","P1","dense","impact_dashboard","login_teamleader; profile_dense; navigate_impact","text:Impact","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT116","impact","impact","teamleader","loaded","1440x900","landscape","P1","dense","impact_dashboard","login_teamleader; profile_dense; navigate_impact","text:Impact","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT117","impact","impact","teamleader","partial_data","390x844","portrait","P1","partial","impact_partial","login_teamleader; profile_partial; navigate_impact","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT118","impact","impact","teamleader","partial_data","768x1024","portrait","P1","partial","impact_partial","login_teamleader; profile_partial; navigate_impact","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT119","impact","impact","teamleader","partial_data","1440x900","landscape","P1","partial","impact_partial","login_teamleader; profile_partial; navigate_impact","state:partial","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/impact"
"PILOT120","archives","archives","member","loaded","390x844","portrait","P1","dense","archives_list","login_member; profile_dense; navigate_archives","text:Archives","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT121","archives","archives","member","loaded","768x1024","portrait","P1","dense","archives_list","login_member; profile_dense; navigate_archives","text:Archives","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT122","archives","archives","member","loaded","1440x900","landscape","P1","dense","archives_list","login_member; profile_dense; navigate_archives","text:Archives","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT123","archives","award","member","loaded","390x844","portrait","P1","dense","archive_award","login_member; open_award","text:Prix audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT124","archives","award","member","loaded","768x1024","portrait","P1","dense","archive_award","login_member; open_award","text:Prix audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT125","archives","award","member","loaded","1440x900","landscape","P1","dense","archive_award","login_member; open_award","text:Prix audit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT126","archives","story","member","long_content","390x844","portrait","P2","long_content","archive_story","login_member; open_long_story","text:Recit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT127","archives","story","member","long_content","768x1024","portrait","P2","long_content","archive_story","login_member; open_long_story","text:Recit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT128","archives","story","member","long_content","1440x900","landscape","P2","long_content","archive_story","login_member; open_long_story","text:Recit","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT129","archives","award","member","missing_image","390x844","portrait","P1","invalid_media","archive_missing_image","login_member; open_missing_image_award","state:missing_image","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT130","archives","award","member","missing_image","768x1024","portrait","P1","invalid_media","archive_missing_image","login_member; open_missing_image_award","state:missing_image","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
"PILOT131","archives","award","member","missing_image","1440x900","landscape","P1","invalid_media","archive_missing_image","login_member; open_missing_image_award","state:missing_image","clear_storage; close_target; restore_network","screenshot_after_driver_validation","token_storage","/archives"
