"selector_id","domaine","fichier","classe","methode","ligne","widget","variable_controlee","type","options_source","permission_dependency","mobile","desktop","validation","capture_dediee","lexical_occurrences_total","probable_instances_total","validated_instances_total","duplicates_grouped_total","commentaire"
"SEL011","auth","frontend/lib/features/auth/screens/login_screen.dart","_JoinEnactusSheetState","build","1014","DropdownButtonFormField","not_detected","status_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL012","chat","frontend/lib/features/chat/screens/chat_screen.dart","_AttachmentMessageDialogState","build","3673","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL013","chat","frontend/lib/features/chat/screens/chat_screen.dart","_NewChatThreadDialogState","build","3992","DropdownButtonFormField","not_detected","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL014","chat","frontend/lib/features/chat/screens/chat_screen.dart","_NewChatThreadDialogState","if","4030","DropdownButtonFormField","pole.id","pole_picker","_poles.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL015","chat","frontend/lib/features/chat/screens/chat_screen.dart","_NewChatThreadDialogState","if","4050","DropdownButtonFormField","pole.id","pole_picker","_projects.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL016","documents","frontend/lib/features/documents/screens/documents_screen.dart","_DocumentsFilters","build","548","DropdownButtonFormField","option.value","filter_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL017","documents","frontend/lib/features/documents/screens/documents_screen.dart","_DocumentsFilters","build","570","DropdownButtonFormField","option.value","filter_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL018","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","setState","1253","DropdownButtonFormField","option.value","dropdown","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL019","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","setState","1294","DropdownButtonFormField","not_detected","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL020","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","setState","1327","DropdownButtonFormField","not_detected","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL021","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","if","1364","DropdownButtonFormField","pole.id","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL022","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","if","1385","DropdownButtonFormField","pole.id","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL023","documents","frontend/lib/features/documents/screens/documents_screen.dart","_CreateDocumentDialogState","if","1406","DropdownButtonFormField","project.id","project_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL024","events","frontend/lib/features/events/screens/events_screen.dart","_EventsToolbar","build","425","DropdownButtonFormField","not_detected","filter_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL025","events","frontend/lib/features/events/screens/events_screen.dart","_EventsToolbar","build","444","DropdownButtonFormField","not_detected","filter_picker","_eventTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL026","events","frontend/lib/features/events/screens/events_screen.dart","_CreateEventSheetState","if","1592","DropdownButtonFormField","not_detected","status_picker","_eventTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL027","finance","frontend/lib/features/finance/screens/finance_screen.dart","_CreateFeeDialogState","build","1565","DropdownButtonFormField","member.id","member_picker","widget.members.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL028","finance","frontend/lib/features/finance/screens/finance_screen.dart","_CreateFeeDialogState","if","1592","DropdownButtonFormField","not_detected","member_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL029","finance","frontend/lib/features/finance/screens/finance_screen.dart","_CreatePaymentDialogState","build","1832","DropdownButtonFormField","member.id","member_picker","widget.members.map","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL030","finance","frontend/lib/features/finance/screens/finance_screen.dart","_CreatePaymentDialogState","if","1876","DropdownButtonFormField","not_detected","dropdown","dynamic","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL031","gamification","frontend/lib/features/gamification/screens/gamification_screen.dart","_AwardPointsDialogState","build","1066","DropdownButtonFormField","member.id","member_picker","widget.members.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL032","gamification","frontend/lib/features/gamification/screens/gamification_screen.dart","_AwardPointsDialogState","if","1090","DropdownButtonFormField","null","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL033","gamification","frontend/lib/features/gamification/screens/gamification_screen.dart","_AwardPointsDialogState","if","1114","DropdownButtonFormField","pole.id","pole_picker","_sourceTypes.entries.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL034","members","frontend/lib/features/members/screens/members_screen.dart","_SearchAndActions","build","565","DropdownButtonFormField","not_detected","status_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL035","members","frontend/lib/features/members/screens/members_screen.dart","_SearchAndActions","build","582","DropdownButtonFormField","not_detected","role_picker","const","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL036","members","frontend/lib/features/members/screens/members_screen.dart","_MemberAssignmentSheetState","build","2122","DropdownButtonFormField","_AssignmentMode.corePole","pole_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL037","members","frontend/lib/features/members/screens/members_screen.dart","_PoleTargetField","build","2264","DropdownButtonFormField","pole.id","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL038","members","frontend/lib/features/members/screens/members_screen.dart","_ProjectTargetField","build","2299","DropdownButtonFormField","project.id","project_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL039","members","frontend/lib/features/members/screens/members_screen.dart","_PositionField","build","2342","DropdownButtonFormField","deputyValue","dropdown","dynamic","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL040","members","frontend/lib/features/members/screens/members_screen.dart","_AssignDepartmentDialogState","build","2472","DropdownButtonFormField","department","sort_picker","_departments.map","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL041","notifications","frontend/lib/features/notifications/screens/notifications_screen.dart","_NotificationsFilters","build","527","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL042","poles","frontend/lib/features/poles/screens/poles_screen.dart","_PoleMembershipManagerState","build","1191","DropdownButtonFormField","member.id","member_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL043","poles","frontend/lib/features/poles/screens/poles_screen.dart","_PoleMembershipManagerState","build","1218","DropdownButtonFormField","not_detected","member_picker","dynamic","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL044","poles","frontend/lib/features/poles/screens/poles_screen.dart","_EditPoleSheetState","if","1519","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL045","poles","frontend/lib/features/poles/screens/poles_screen.dart","_CreatePoleSheetState","if","1681","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL046","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostComposer","build","1139","DropdownButtonFormField","not_detected","dropdown","_postTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL047","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostComposer","build","1151","DropdownButtonFormField","not_detected","pole_picker","_postTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL048","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostComposer","build","1164","DropdownButtonFormField","pole.id","pole_picker","_visibilityItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL049","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostComposer","build","1185","DropdownButtonFormField","project.id","pole_picker","projects","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL050","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostFilters","build","1363","DropdownButtonFormField","pole.id","pole_picker","poles","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL051","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostFilters","build","1384","DropdownButtonFormField","project.id","pole_picker","projects","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL052","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostFilters","build","1404","DropdownButtonFormField","not_detected","project_picker","_postTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL053","posts","frontend/lib/features/posts/screens/posts_screen.dart","_PostFilters","build","1416","DropdownButtonFormField","not_detected","dropdown","_postTypeItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL054","projects","frontend/lib/features/projects/screens/projects_screen.dart","_ProjectsToolbar","build","442","DropdownButtonFormField","not_detected","status_picker","_statusItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL055","projects","frontend/lib/features/projects/screens/projects_screen.dart","_ProjectStatusPanel","build","1174","DropdownButtonFormField","not_detected","project_picker","_statusItems","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL056","projects","frontend/lib/features/projects/screens/projects_screen.dart","_ProjectTeamPanel","build","1347","DropdownButtonFormField","member.id","member_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL057","projects","frontend/lib/features/projects/screens/projects_screen.dart","_ProjectTeamPanel","build","1373","DropdownButtonFormField","not_detected","member_picker","dynamic","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL058","projects","frontend/lib/features/projects/screens/projects_screen.dart","_EditProjectSheetState","if","1969","DropdownButtonFormField","not_detected","status_picker","_statusItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL059","projects","frontend/lib/features/projects/screens/projects_screen.dart","_CreateProjectSheetState","if","2267","DropdownButtonFormField","not_detected","status_picker","_statusItems","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL060","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_RecruitmentFilters","build","728","DropdownButtonFormField","campaign.id","dropdown","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL061","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_RecruitmentFilters","build","751","DropdownButtonFormField","campaign.id","status_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL062","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_RecruitmentFilters","build","793","DropdownButtonFormField","not_detected","status_picker","const","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL063","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_ApplicationCard","build","1343","DropdownButtonFormField","not_detected","status_picker","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL064","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_CreateApplicationDialogState","build","1913","DropdownButtonFormField","campaign.id","dropdown","widget.campaigns.map","possible_guard_review","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL065","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_ReviewApplicationDialogState","build","2597","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL066","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_ConvertApplicationDialogState","build","2799","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL067","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_ConvertApplicationDialogState","build","2822","DropdownButtonFormField","null","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL068","recruitment","frontend/lib/features/recruitment/screens/recruitment_screen.dart","_ConvertApplicationDialogState","if","2874","DropdownButtonFormField","null","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL069","tasks","frontend/lib/features/tasks/screens/tasks_screen.dart","_TaskCard","build","699","DropdownButtonFormField","not_detected","member_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL070","tasks","frontend/lib/features/tasks/screens/tasks_screen.dart","_CreateTaskDialogState","if","987","DropdownButtonFormField","not_detected","dropdown","const","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL071","tasks","frontend/lib/features/tasks/screens/tasks_screen.dart","_CreateTaskDialogState","if","1031","DropdownButtonFormField","_proofRequired","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
"SEL072","tasks","frontend/lib/features/tasks/screens/tasks_screen.dart","_CreateTaskDialogState","if","1052","DropdownButtonFormField","null","pole_picker","dynamic","not_detected_static","runtime_required","runtime_required","probable_instance_static","pending_runtime_dedup","72","72","0","9","DropdownMenuItem and DropdownMenuEntry are excluded from instance candidates."
